,property_type,region,area_m2,price_usd,lat,lon,state
10652,apartment,South,65.0,93303.37,-25.434233,-49.239506,Paraná
10653,house,South,170.0,202521.37,-25.473475,-49.234734,Paraná
10654,apartment,South,152.0,265243.71,-25.429785,-49.261333,Paraná
10655,apartment,South,76.0,127316.98,-25.492264,-49.301891,Paraná
10656,apartment,South,73.0,109217.99,-25.492264,-49.301891,Paraná
10657,apartment,South,67.0,102040.81,-25.492264,-49.301891,Paraná
10658,house,South,180.0,186225.61,-25.41285706,-49.29233932,Paraná
10660,apartment,South,127.0,234038.56,-25.461021,-49.281609,Paraná
10661,apartment,South,68.0,91534.62,-25.478897,-49.276539,Paraná
10663,apartment,South,89.0,102581.9,-25.437986,-49.276573,Paraná
10664,apartment,South,53.0,85221.89,-25.419147,-49.265495,Paraná
10665,apartment,South,108.0,134145.57,-25.542696,-49.201069,Paraná
10666,apartment,South,115.0,136986.3,-25.542696,-49.201069,Paraná
10667,apartment,South,76.0,99425.54,-25.542696,-49.201069,Paraná
10668,apartment,South,59.0,79856.06,-25.542696,-49.201069,Paraná
10670,apartment,South,59.0,78909.15,-25.542696,-49.201069,Paraná
10671,apartment,South,68.0,87115.71,-25.542696,-49.201069,Paraná
10672,apartment,South,59.0,84590.61,-25.542696,-49.201069,Paraná
10673,apartment,South,59.0,110472.82,-25.418262,-49.26218,Paraná
10674,apartment,South,78.0,97847.35,-25.394987,-49.215744,Paraná
10675,apartment,South,160.0,299854.8,-25.405325,-49.261333,Paraná
10676,house,South,95.0,124045.19,-25.369902,-49.265476,Paraná
10677,apartment,South,64.0,140423.14,-25.405325,-49.261333,Paraná
10678,apartment,South,70.0,88934.65,-25.503553,-49.291748,Paraná
10679,house,South,130.0,106097.48,-25.515116,-49.180309,Paraná
10680,house,South,92.0,121700.05,-25.525843,-49.198959,Paraná
10681,apartment,South,53.0,82065.52,-25.419147,-49.265495,Paraná
10682,apartment,South,108.0,132621.85,-25.542696,-49.201069,Paraná
10683,apartment,South,115.0,136986.3,-25.542696,-49.201069,Paraná
10684,apartment,South,76.0,98296.19,-25.542696,-49.201069,Paraná
10686,apartment,South,59.0,78324.9,-25.542696,-49.201069,Paraná
10687,apartment,South,59.0,78012.85,-25.542696,-49.201069,Paraná
10688,apartment,South,68.0,86126.19,-25.542696,-49.201069,Paraná
10689,apartment,South,59.0,83629.78,-25.542696,-49.201069,Paraná
10690,apartment,South,59.0,77076.7,-25.542696,-49.201069,Paraná
10691,apartment,South,63.0,87062.34,-25.542696,-49.201069,Paraná
10692,apartment,South,103.0,274605.25,-25.446156,-49.266403,Paraná
10693,apartment,South,59.0,109217.99,-25.418262,-49.26218,Paraná
10694,apartment,South,242.0,483679.71,-25.43918,-49.288307,Paraná
10695,apartment,South,67.0,91534.62,-25.503553,-49.291748,Paraná
10696,house,South,80.0,118579.54,-25.492264,-49.301891,Paraná
10698,apartment,South,59.0,109217.99,-25.385572,-49.246132,Paraná
10699,apartment,South,205.0,274603.87,-25.429785,-49.261333,Paraná
10700,house,South,105.0,156240.13,-25.378073,-49.278187,Paraná
10701,apartment,South,119.0,236727.47,-25.461021,-49.281609,Paraná
10703,apartment,South,125.0,205163.81,-25.418262,-49.26218,Paraná
10704,apartment,South,69.0,142036.48,-25.435572,-49.26767,Paraná
10705,house,South,154.0,163815.41,-25.383627,-49.225559,Paraná
10706,apartment,South,73.0,110472.82,-25.473375,-49.227139,Paraná
10707,apartment,South,77.0,88934.65,-25.461021,-49.281609,Paraná
10708,apartment,South,85.0,123098.28,-25.440594,-49.348724,Paraná
10709,apartment,South,134.0,293542.07,-25.437098,-49.327251,Paraná
10710,apartment,South,163.0,135408.11,-25.448837,-49.291473,Paraná
10711,apartment,South,101.0,110472.82,-25.417414,-49.269444,Paraná
10712,apartment,South,120.0,234038.56,-25.428337,-49.253796,Paraná
10713,apartment,South,120.0,234038.56,-25.428337,-49.253796,Paraná
10714,apartment,South,134.0,257442.42,-25.401939,-49.251198,Paraná
10715,apartment,South,134.0,277725.76,-25.401939,-49.251198,Paraná
10716,apartment,South,108.0,140423.14,-25.5466082,-54.5529754,Paraná
10717,apartment,South,174.0,383511.2,-25.44689,-49.327251,Paraná
10718,apartment,South,61.0,91534.62,-25.429785,-49.261333,Paraná
10719,apartment,South,178.0,280916.6,-25.451206,-49.283775,Paraná
10720,apartment,South,148.0,258822.04,-25.401939,-49.251198,Paraná
10721,apartment,South,118.0,183069.25,-25.416811,-49.261932,Paraná
10722,apartment,South,92.0,149784.68,-25.492264,-49.301891,Paraná
10723,apartment,South,91.0,163826.99,-25.492264,-49.301891,Paraná
10724,apartment,South,89.0,162266.74,-25.492264,-49.301891,Paraná
10725,house,South,184.0,246520.62,-25.4939628,-54.5372625,Paraná
10726,house,South,142.0,112338.51,-25.407366,-49.204838,Paraná
10727,apartment,South,70.0,119626.28,-25.385572,-49.246132,Paraná
10728,apartment,South,190.0,305810.39,-25.43232,-49.278015,Paraná
10729,house,South,200.0,202833.42,-25.383406,-49.21476,Paraná
10730,apartment,South,97.0,252509.31,-25.450169,-49.285343,Paraná
10731,apartment,South,108.0,148349.22,-25.461021,-49.281609,Paraná
10732,apartment,South,64.0,101003.72,-25.454988,-49.322178,Paraná
10733,apartment,South,85.0,195694.71,-25.436291,-49.301155,Paraná
10734,apartment,South,119.0,173600.15,-25.450169,-49.285343,Paraná
10735,apartment,South,194.0,202833.42,-25.433802,-49.289169,Paraná
10736,apartment,South,106.0,213755.22,-25.398558,-49.241066,Paraná
10737,apartment,South,125.0,254321.91,-25.398558,-49.241066,Paraná
10738,apartment,South,182.0,430630.96,-25.4427221,-49.346123,Paraná
10739,apartment,South,190.0,447793.79,-25.4427221,-49.346123,Paraná
10740,apartment,South,114.0,121075.95,-25.413214,-49.271294,Paraná
10741,house,South,220.0,212194.96,-25.377298,-49.236,Paraná
10742,apartment,South,89.0,82065.52,-25.431011,-49.274124,Paraná
10743,apartment,South,65.0,91534.62,-25.54619,-49.309498,Paraná
10744,apartment,South,86.0,173600.15,-25.446005,-49.283737,Paraná
10745,apartment,South,228.0,314058.45,-25.401939,-49.251198,Paraná
10746,apartment,South,124.0,180989.82,-25.443838,-49.282368,Paraná
10747,apartment,South,99.0,378763.96,-25.766428,-48.538731,Paraná
10748,house,South,204.0,189066.34,-25.446154,-49.254105,Paraná
10749,apartment,South,85.0,172021.96,-25.436501,-49.241051,Paraná
10750,house,South,188.0,130437.49,-25.54228,-49.202145,Paraná
10751,apartment,South,92.0,131061.59,-25.444273,-49.246132,Paraná
10752,house,South,158.0,143543.65,-25.5412657,-49.217065,Paraná
10753,apartment,South,70.0,107657.74,-25.531321,-49.21545,Paraná
10754,house,South,118.0,143543.65,-25.517023,-49.200554,Paraná
10755,house,South,62.0,78012.85,-25.562223,-49.202873,Paraná
10756,apartment,South,100.0,124820.57,-25.539415,-49.200794,Paraná
10757,house,South,140.0,106097.48,-25.5236781,-49.2332891,Paraná
10758,house,South,144.0,134182.11,-25.541979,-49.216557,Paraná
10759,house,South,180.0,112338.51,-25.4519899,-49.3564414,Paraná
10760,house,South,118.0,132621.85,-25.517023,-49.200554,Paraná
10761,house,South,140.0,162266.74,-25.546637,-49.178368,Paraná
10762,house,South,189.0,402546.33,-25.562504,-49.19043,Paraná
10763,house,South,118.0,140111.09,-25.517023,-49.200554,Paraná
10764,house,South,132.0,102976.97,-25.5203373,-49.17039,Paraná
10765,house,South,160.0,113629.19,-25.368862,-49.267773,Paraná
10768,apartment,South,95.0,104537.22,-25.449141,-49.292271,Paraná
10769,apartment,South,63.0,125623.38,-25.401939,-49.251198,Paraná
10770,apartment,South,152.0,214632.91,-25.421751,-49.267796,Paraná
10771,house,South,180.0,162266.74,-25.391151,-49.274902,Paraná
10772,apartment,South,70.0,104160.09,-25.460024,-49.295078,Paraná
10773,house,South,244.0,202833.42,-25.496773,-49.271469,Paraná
10774,apartment,South,73.0,89956.44,-25.471264,-49.288162,Paraná
10775,apartment,South,65.0,91534.62,-25.401939,-49.251198,Paraná
10776,apartment,South,60.0,78909.15,-25.469488,-49.306961,Paraná
10777,apartment,South,117.0,289895.77,-25.4053236,-49.2613339,Paraná
10778,apartment,South,134.0,305498.34,-25.4150625,-49.2575333,Paraná
10779,apartment,South,90.0,209043.25,-25.4240932,-49.2626009,Paraná
10781,apartment,South,130.0,366161.14,-25.4222763896,-49.3136014938,Paraná
10782,house,South,191.0,82693.62,-25.0983576611,-50.1884678006,Paraná
10783,apartment,South,130.0,106097.48,-25.070864,-50.158235,Paraná
10784,apartment,South,105.0,255882.16,-25.4303333,-49.3069611,Paraná
10785,apartment,South,185.0,405317.35,-25.4370981,-49.3272514,Paraná
10786,apartment,South,158.0,172968.87,-25.466328,-49.282589,Paraná
10787,apartment,South,89.0,167287.41,-25.492264,-49.301891,Paraná
10788,apartment,South,89.0,102581.9,-25.437986,-49.276573,Paraná
